depot,truck,timestamp,speed,distance,socpercent,chargingstatus,ignitionstatus,energytype,accumulatedkwh
Performance Team (Commerce),VNR 1,2023-09-11 09:55:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 09:55:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 09:58:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 09:58:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 09:58:55+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:39:30+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 11:39:30+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 11:39:30+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 11:39:30+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.72
Performance Team (Commerce),VNR 1,2023-09-11 11:40:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:40:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:43:18+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:43:18+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:43:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:43:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:46:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:46:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:49:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:49:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:52:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:52:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:55:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:55:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:58:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 11:58:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:01:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:01:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:04:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:04:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:07:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:07:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:09:47+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:48:11+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 12:48:11+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 12:48:11+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 12:48:11+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.73
Performance Team (Commerce),VNR 1,2023-09-11 12:49:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:52:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:55:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 12:58:13+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:16:23+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:19:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:19:22+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 13:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 13:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 13:19:22+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.73
Performance Team (Commerce),VNR 1,2023-09-11 13:22:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:25:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:25:41+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:25:41+00,NULL,NULL,100,NULL,NULL,NULL,NULL
